名称,武器分类,基础准度,静止射击准度,移动射击准度,被瞄准射击准度,存在距离加成,最大连射奖励次数,最小散步,最大散步,散射角度,散射无规律,造成状态效果概率,对地最小射程,对直升机最小射程,对固定翼最小射程,对地最大射程,对直升机最大射程,对固定翼最大射程,伤害类别,伤害类型索引,基底伤害量,物理伤害溅射半径,压制伤害,压制伤害建设半径,允许未命中造成压制伤害,武器穿深进化类型,引导方式,瞄准时间,装填时间,发射间隔时间,可发射次数,校准射击瞄准时间修正系数,校准射击散步修正系数,补给消耗,投射物类型,烟雾类型,单一锁敌,乱序射击,可穿甲,可移动射击,可直接瞄准,可曲射射击,可盲射,盲射射击次数,可杀伤固定翼,瞄准目标中心,强制造成对顶伤害,造成着火效果,造成着火概率,无友军伤害,射击隐匿惩罚,串联武器,子弹药描述,展示连射准度,面板消耗弹药数量,效果间隔,弹药类型,对地最小射程,对地最大射程,投射物最小射程,高度射程
Ammo_Bomb_FAB50_50kg_x6,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.15,6,是,无,1400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,6,0.15,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_FAB500_500kg_x1,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,12.0,1168.795868,1100.0,2921.98967,无,无,无,否,5.0,0.6,是,是,无,1800,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.75,否,是,无,无,无,是,0.6,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_FAB500_500kg_x2,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,12.0,1168.795868,1100.0,2921.98967,无,无,无,否,5.0,0.4,2,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.75,否,是,无,无,无,2,0.4,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_FAB500_500kg_x3,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,12.0,1168.795868,1100.0,2921.98967,无,无,无,否,5.0,0.6,3,是,无,2800,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.75,否,是,无,无,无,3,0.6,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_FAB500_500kg_x4,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,12.0,1168.795868,1100.0,2921.98967,无,无,无,否,5.0,0.6,4,是,无,3000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.75,否,是,无,无,无,4,0.6,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_GP_Mk_IV_250lb_113kg_x1,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,2921.98967,无,无,无,无,6.0,584.397934,550.0,1460.994835,无,无,无,否,5.0,0.1,是,是,无,600,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,是,0.1,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_GP_Mk_IV_250lb_113kg_x18,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,2921.98967,无,无,无,无,6.0,584.397934,550.0,1460.994835,无,无,无,否,5.0,0.2,18,是,无,3000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,18,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_GP_Mk_IV_250lb_113kg_x2,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,2921.98967,无,无,无,无,6.0,584.397934,550.0,1460.994835,无,无,无,否,5.0,0.1,2,是,无,1200,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,2,0.1,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_GP_Mk_IV_250lb_113kg_x20,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,2921.98967,无,无,无,无,6.0,584.397934,550.0,1460.994835,无,无,无,否,5.0,0.25,20,是,无,3000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,20,0.25,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_GP_Mk_IV_250lb_113kg_x6,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,6.0,584.397934,550.0,1460.994835,无,无,无,否,5.0,0.15,6,是,无,2000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,6,0.15,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_GP_Mk_IV_250lb_113kg_x8,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,2921.98967,无,无,无,无,6.0,584.397934,550.0,1460.994835,无,无,无,否,5.0,0.15,8,是,无,2300,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,8,0.15,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_GP_Mk_IV_500lb_227kg_x1,MinMax_BOMB,否,否,否,否,无,无,29.2198967,29.2198967,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,800.0,2191.4922524999997,无,无,无,否,5.0,0.2,是,是,无,1200,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,是,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_GP_Mk_IV_500lb_227kg_x2,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,800.0,2191.4922524999997,无,无,无,否,5.0,0.2,2,是,无,1800,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,2,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_GP_Mk_IV_500lb_227kg_x4,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,800.0,2191.4922524999997,无,无,无,否,5.0,0.3,4,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,4,0.3,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_GP_Mk_IV_500lb_227kg_x8,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,800.0,2191.4922524999997,无,无,无,否,5.0,0.2,8,是,无,3000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,8,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_IB_30lb_Mk_III_13kg_x32,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,1.5,292.198967,150.0,365.24870875,无,无,无,否,5.0,0.1,32,是,无,1600,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,是,是,无,~/Descriptor_Fire_NapalmCluster_petit,是,否,是,无,是,无,32,0.1,EArmeType/Flamme,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_Incendiary_Bomb_108_US_gallons_409kg_x2,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,3.0,1168.795868,800.0,3652.4870874999997,无,无,无,否,5.0,0.4,2,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_NapalmMoyen,是,否,是,无,无,无,2,0.4,EArmeType/Flamme,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_M32_272kg_x2,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,1000.0,2191.4922524999997,无,无,无,否,5.0,0.2,2,是,无,1800,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,2,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_M32_272kg_x4,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,1000.0,2191.4922524999997,无,无,无,否,5.0,0.2,4,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,4,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_MC_Mk_I_1000lb_454kg_x2,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,12.0,1168.795868,1100.0,2921.98967,无,无,无,否,5.0,0.4,2,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,2,0.4,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_MC_Mk_I_1000lb_454kg_x4,MinMax_BOMB,否,否,否,否,无,无,29.2198967,29.2198967,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,12.0,1168.795868,1100.0,2921.98967,无,无,无,否,5.0,0.4,4,是,无,3000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,4,0.4,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_PTAB_2_5_x192,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,73.04974175,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.5,292.198967,400.0,1095.7461262499999,无,无,无,否,5.0,0.1,192,是,无,2100,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,否,否,是,无,是,无,192,0.1,EArmeType/Cluster_AP,0.0,1460.994835,0.0,14.60994835
Ammo_Bomb_PTAB_2_5_x48,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,73.04974175,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.5,292.198967,400.0,1095.7461262499999,无,无,无,否,5.0,0.1,48,是,无,1200,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,否,否,是,无,是,无,48,0.1,EArmeType/Cluster_AP,0.0,1460.994835,0.0,14.60994835
Ammo_Bomb_PTAB_2_5_x96_Yak9B,MinMax_BOMB,否,否,否,否,无,无,29.2198967,58.4397934,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.5,292.198967,400.0,1095.7461262499999,无,无,无,否,5.0,0.1,96,是,无,1500,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,否,否,是,无,是,无,96,0.1,EArmeType/Cluster_AP,0.0,1460.994835,0.0,14.60994835
Ammo_Bomb_PuW_12kg_x24,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,73.04974175,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,1.5,365.24870875,300.0,1095.7461262499999,无,无,无,否,5.0,0.1,24,是,无,1500,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,24,0.1,EArmeType/Cluster,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_SC_10_10kg_x6,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,73.04974175,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,1.5,365.24870875,300.0,1095.7461262499999,无,无,无,否,5.0,0.1,6,是,无,600,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,6,0.1,EArmeType/Cluster,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_SC_1000kg_x1,MinMax_BOMB,否,否,否,否,无,无,29.2198967,29.2198967,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,18.0,1899.2932855,1600.0,4382.984504999999,无,无,无,否,5.0,0.3,是,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,是,否,是,无,无,无,是,0.3,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_SC_1000kg_x2,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,18.0,1899.2932855,1600.0,4382.984504999999,无,无,无,否,5.0,0.6,2,是,无,3000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,是,否,是,无,无,无,2,0.6,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_SC_250kg,MinMax_BOMB,否,否,否,否,无,无,29.2198967,29.2198967,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,900.0,2191.4922524999997,无,无,无,否,5.0,0.2,是,是,无,1200,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,是,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_250kg_x2,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,900.0,2191.4922524999997,无,无,无,否,5.0,0.2,2,是,无,1800,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,2,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_250kg_x4,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,900.0,2191.4922524999997,无,无,无,否,5.0,0.3,4,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,4,0.3,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_250kg_x5,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,900.0,2191.4922524999997,无,无,无,否,5.0,0.2,5,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,5,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_250kg_x8,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,9.0,876.596901,900.0,2191.4922524999997,无,无,无,否,5.0,0.2,8,是,无,3000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.5,否,是,无,无,无,8,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_500kg,MinMax_BOMB,否,否,否,否,无,无,29.2198967,29.2198967,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,12.0,1168.795868,1100.0,2921.98967,无,无,无,否,5.0,0.2,是,是,无,1800,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.75,否,是,无,无,无,是,0.2,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_SC_500kg_x2,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,12.0,1168.795868,1100.0,2921.98967,无,无,无,否,5.0,0.4,2,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.75,否,是,无,无,无,2,0.4,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_SC_500kg_x4,MinMax_BOMB,否,否,否,否,无,无,29.2198967,29.2198967,否,无,否,0.0,无,无,19477.98314022,无,无,无,无,12.0,1168.795868,1100.0,2921.98967,无,无,无,否,5.0,0.4,4,是,无,3000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.75,否,是,无,无,无,4,0.4,EArmeType/Bombe,0.0,19477.98314022,0.0,219.14922525
Ammo_Bomb_SC_50kg_x10,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.15,10,是,无,1800,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,10,0.15,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_50kg_x16,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.2,16,是,无,2200,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,16,0.2,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_50kg_x2,MinMax_BOMB,否,否,否,否,无,无,无,14.60994835,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.1,2,是,无,600,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,2,0.1,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_50kg_x20,MinMax_BOMB,否,否,否,否,无,无,58.4397934,58.4397934,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.25,20,是,无,2400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,20,0.25,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_50kg_x26,MinMax_BOMB,否,否,否,否,无,无,73.04974175,73.04974175,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.25,26,是,无,2800,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,26,0.25,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_50kg_x28,MinMax_BOMB,否,否,否,否,无,无,73.04974175,73.04974175,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.25,28,是,无,2800,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,28,0.25,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_50kg_x32,MinMax_BOMB,否,否,否,否,无,无,73.04974175,73.04974175,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.25,32,是,无,2900,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,32,0.25,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_50kg_x4,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.1,4,是,无,1000,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,4,0.1,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_50kg_x6,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.15,6,是,无,1400,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,6,0.15,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SC_50kg_x8,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,438.2984505,400.0,1460.994835,无,无,无,否,5.0,0.15,8,是,无,1600,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,8,0.15,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bomb_SD_70kg_x14,MinMax_BOMB,否,否,否,否,无,无,14.60994835,43.829845049999996,否,无,否,0.0,无,无,2921.98967,无,无,无,无,3.0,1168.795868,600.0,2191.4922524999997,无,无,无,否,5.0,0.15,14,是,无,2700,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,否,否,是,无,无,无,14,0.15,EArmeType/Cluster_AP,0.0,2921.98967,0.0,14.60994835
Ammo_Bomb_SD2_2kg_x280,MinMax_BOMB,否,否,否,否,无,无,58.4397934,87.65969009999999,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.5,292.198967,400.0,1095.7461262499999,无,无,无,否,5.0,0.1,280,是,无,2100,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,否,否,是,无,是,无,280,0.1,EArmeType/Cluster_AP,0.0,1460.994835,0.0,14.60994835
Ammo_Bomb_SD2_x96,MinMax_BOMB,否,否,否,否,无,无,43.829845049999996,73.04974175,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.5,292.198967,400.0,1095.7461262499999,无,无,无,否,5.0,0.1,96,是,无,1500,EProjectileType/Bombe,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,否,否,是,无,是,无,96,0.1,EArmeType/Cluster_AP,0.0,1460.994835,0.0,14.60994835
Ammo_Bomb_Smoke_Special_x4,MinMax_smoke,否,否,否,否,无,无,14.60994835,14.60994835,否,无,否,0.0,无,无,2921.98967,无,无,无,无,否,584.397934,否,292.198967,无,无,无,否,5.0,0.5,6,是,无,1800,EProjectileType/Bombe,~/Descriptor_Smoke_FumiBombe,无,无,否,无,否,否,无,无,是,是,无,无,无,否,是,无,无,无,6,0.5,EArmeType/Bombe,0.0,2921.98967,0.0,58.4397934
Ammo_Bombasi,MinMax_Grenade,否,否,否,否,无,无,无,20.45392769,否,无,否,292.198967,无,无,1460.994835,无,无,无,无,5.0,219.14922525,300.0,292.198967,无,无,无,2.0,15.0,是,是,是,无,50,EProjectileType/ArtillerieAnimated,无,无,无,否,无,是,是,无,是,是,是,无,无,无,否,2.88,无,无,无,是,是,EArmeType/HE,292.198967,1460.994835,0.0,146.0994835
Ammo_Boys_ATR,MinMax_Rifle,否,60,否,否,无,3,无,58.4397934,否,无,75,0.0,无,无,5843.97934,无,无,无,无,2.0,2.92198967,41.0,119.80157647,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_400m,无,4.0,8.0,3.0,5,是,无,35,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,8.64,无,无,无,5,3.0,EArmeType/AP_4,0.0,5843.97934,0.0,无
Ammo_Breda_8mm_Vehicule,MinMax_Rifle,否,5,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,0.5,2.92198967,22.0,292.198967,无,无,无,2.0,3.0,0.4,8,是,无,12,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.4,无,无,无,25,0.2,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_Breda_8mm_Vehicule_UIx2,MinMax_Rifle,否,5,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,0.5,2.92198967,22.0,292.198967,无,无,无,2.0,3.0,0.4,8,是,无,12,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.4,无,无,无,25,0.2,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_Breda_8mm_Vehicule_x2,MinMax_Rifle,否,5,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,是,2.92198967,44.0,350.63876039999997,无,无,无,2.0,3.0,0.4,8,是,无,25,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.4,无,无,无,50,0.2,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_Breda_Model_31_13_2mm_vehicule,MinMax_Rifle,否,5,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,1.5,2.92198967,100.0,584.397934,无,无,无,2.0,5.0,是,6,是,无,10,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,16.2,无,无,无,20,0.2,EArmeType/BalleDCA,1460.994835,10957.461262499999,0.0,无
Ammo_Breda_Model_31_13_2mm_vehicule_AP,MinMax_Rifle,否,5,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,1.5,2.92198967,100.0,584.397934,无,无,无,2.0,5.0,是,6,是,无,10,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,16.2,无,无,无,20,0.2,EArmeType/Balle_HMG,1460.994835,10957.461262499999,0.0,无
